"draw_no","draw_date","num1","num2","num3","num4","num5","num6","bonus","first_winner_count","first_prize_amount","first_total_amount","second_winner_count","second_prize_amount","third_winner_count","third_prize_amount","total_sales_amount"
"29","2003-06-21","1","5","13","34","39","40","11","5","3552594000","0","17","174146700","752","3936800","74523120000"
"30","2003-06-28","8","17","20","35","36","44","4","2","8728555500","0","22","132250800","872","3336600","72399690000"
"31","2003-07-05","7","9","18","23","28","35","32","2","8106672900","0","29","93180100","1130","2391300","71317306000"
"32","2003-07-12","6","14","19","25","34","44","11","10","1634528300","0","49","55596200","1203","2264500","71179198000"
"33","2003-07-19","4","7","32","33","40","41","9","1","14903517600","0","41","60583400","1063","2336700","67457252000"
"34","2003-07-26","9","26","35","37","40","42","2","5","3056918000","0","45","56609500","1264","2015300","69389894000"
"35","2003-08-02","2","3","11","26","37","43","39","3","5054598200","0","24","105304100","933","2708700","66143062000"
"36","2003-08-09","1","10","23","26","28","40","31","1","16014475800","0","19","140477800","768","3475300","66856686000"
"37","2003-08-16","7","27","30","33","35","37","42","3","4985999400","0","20","124649900","857","2908900","65509794000"
"38","2003-08-23","16","17","22","30","37","43","36","3","5374866400","0","18","149301800","679","3957900","67369284000"
"39","2003-08-30","6","7","13","15","21","43","8","6","2623748800","0","25","104949900","699","3753500","66094476000"
"40","2003-09-06","7","13","18","19","25","26","6","13","1147652400","0","44","56513100","1055","2356900","65699086000"
"41","2003-09-13","13","20","23","35","38","43","34","0","0","13784904600","21","109404000","700","3282100","57624562000"
"42","2003-09-20","17","18","19","21","23","32","1","6","6899280100","0","35","131479800","1405","3275200","119909740000"
"43","2003-09-27","6","31","35","38","39","44","1","1","17749630800","0","21","140870000","926","3194600","74686296000"
"44","2003-10-04","3","11","21","30","38","45","39","5","3362155800","0","23","121817200","785","3569100","69956950000"
"45","2003-10-11","1","10","20","27","33","35","17","2","8356417800","0","27","103165600","890","3129700","71216232000"
"46","2003-10-18","8","13","15","23","31","38","39","3","5327758800","0","39","68304600","1043","2554000","68181568000"
"47","2003-10-25","14","17","26","31","36","45","27","5","3250042400","0","11","246215300","902","3002600","67756694000"
"48","2003-11-01","6","10","18","26","37","38","3","6","2415673600","0","25","96626900","1279","1888700","65806832000"
"49","2003-11-08","4","7","16","19","33","40","30","7","1967504600","0","49","46845300","1487","1543600","64501142000"
"50","2003-11-15","2","10","12","15","22","44","1","3","5227061400","0","14","186680700","826","3164000","65563234000"
"51","2003-11-22","2","3","11","16","26","44","35","6","2421117000","0","26","93119800","961","2519300","62553680000"
"52","2003-11-29","2","4","15","16","20","29","1","4","3900844900","0","13","200043300","669","3887200","64393446000"
"53","2003-12-06","7","8","14","32","33","39","42","3","5014371000","0","25","100287400","802","3126100","64996010000"
"54","2003-12-13","1","8","21","27","36","39","37","3","5148626600","0","15","171620800","719","3580400","63833006000"
"55","2003-12-20","17","21","31","37","40","44","7","2","7088799600","0","24","98455500","728","3245700","62195764000"
"56","2003-12-27","10","14","30","31","33","37","19","4","3777570900","0","29","86840700","1359","1853100","65258932000"
"57","2004-01-03","7","10","16","25","29","44","6","4","4114411900","0","25","109717600","960","2857200","70132666000"
"58","2004-01-10","10","24","25","33","40","44","1","4","3676429200","0","39","62844900","1318","1859600","66638136000"
"59","2004-01-17","6","29","36","39","41","45","13","4","4127587300","0","23","119640200","651","4226900","67563698000"
"60","2004-01-24","2","8","25","36","39","42","11","7","2172504600","0","27","93873600","1088","2329500","65405936000"
"61","2004-01-31","14","15","19","30","38","43","8","5","3541038800","0","11","268260500","789","3740000","73312994000"
"62","2004-02-07","3","8","15","27","29","35","21","1","15817286400","0","22","119827900","829","3179900","66740368000"
"63","2004-02-14","3","20","23","36","38","40","5","2","7922245500","0","26","101567200","824","3204700","67074050000"
"64","2004-02-21","14","15","18","21","26","36","39","4","3899818000","0","11","236352600","651","3993600","65085154000"
"65","2004-02-28","4","25","33","36","40","43","39","4","3727945800","0","27","92048000","1003","2477800","66685144000"
"66","2004-03-06","2","3","7","17","22","24","45","4","3685138200","0","19","129303000","786","3125600","63378796000"
"67","2004-03-13","3","7","10","15","36","38","33","7","2114436500","0","62","39787700","972","2537900","64314872000"
"68","2004-03-20","10","12","15","16","26","39","38","5","2945882100","0","20","122745000","754","3255800","63813236000"
"69","2004-03-27","5","8","14","15","19","39","35","3","4962712200","0","20","124067800","766","3239300","63711302000"
"70","2004-04-03","5","19","22","25","28","43","26","3","5031277800","0","14","179688400","717","3508500","63232578000"
"71","2004-04-10","5","9","12","16","29","41","21","0","0","14909209800","28","88745200","782","3177500","62889986000"
"72","2004-04-17","2","4","11","17","26","27","1","13","3260524600","0","44","104081800","2510","1824500","125651214000"
"73","2004-04-24","3","12","18","32","40","43","38","6","2766662100","0","26","106410000","1363","2029800","72635862000"
"74","2004-05-01","6","15","17","18","35","40","23","3","5284949800","0","40","66061800","1021","2588100","68902158000"
"75","2004-05-08","2","5","24","32","34","44","28","4","3914616900","0","19","137354900","817","3194300","66138372000"
"76","2004-05-15","1","3","15","22","25","37","43","2","7451022600","0","17","146098400","840","2956700","65083924000"
"77","2004-05-22","2","18","29","32","43","44","37","3","5155758600","0","19","135677800","713","3615500","64420666000"
"78","2004-05-29","10","13","25","29","33","35","38","4","3519850000","0","22","106662100","910","2578600","61257794000"
"79","2004-06-05","3","12","24","27","30","32","14","4","3416443800","0","31","73471910","1196","1904373","60390004000"
"80","2004-06-12","17","18","24","25","26","30","1","1","13809540000","0","16","143849375","868","2651602","60160440000"
"81","2004-06-19","5","7","11","13","20","33","6","5","2714288880","0","20","113095370","1046","2162436","60983308000"
"82","2004-06-26","1","2","3","14","27","42","39","1","14562494400","0","20","121354120","637","3810177","61302808000"
"83","2004-07-03","6","10","15","17","19","34","14","2","7086948300","0","15","157487740","851","2775930","62512062000"
"84","2004-07-10","16","23","27","34","42","45","11","2","7669779000","0","17","150387824","635","4026131","62780760000"
"85","2004-07-17","6","8","13","23","31","36","21","4","3462109800","0","31","74453975","823","2804464","59451304000"
"86","2004-07-24","2","12","37","39","41","45","33","1","14252186400","0","16","148460275","611","3887667","59835968000"
"87","2004-07-31","4","12","16","23","34","43","26","11","1799358055","0","33","99964337","1250","2639059","83793642000"
"88","2004-08-07","1","17","20","24","30","41","27","4","3069709650","0","31","66015262","1183","1729902","51910612000"
"89","2004-08-14","4","26","28","29","33","40","37","3","4248321900","0","30","70805365","1340","1585195","55102179000"
"90","2004-08-21","17","20","29","35","38","44","10","4","3291435300","0","34","64537948","1297","1691820","55493544000"
"91","2004-08-28","1","21","24","26","29","42","27","4","3582902400","0","32","74643800","1205","1982242","59061052000"
"92","2004-09-04","3","14","24","33","35","36","17","11","1233270846","0","50","45219931","1623","1393098","58296001000"
"93","2004-09-11","6","22","24","36","38","44","19","6","2269178150","0","26","87276083","1462","1552106","57236313000"
"94","2004-09-18","5","32","34","40","41","45","6","6","2245339950","0","38","59087894","1353","1659527","57144729000"
"95","2004-09-25","8","17","27","31","34","43","14","8","1747741238","0","48","48548368","1728","1348566","60077493000"
"96","2004-10-02","1","3","8","21","22","31","20","7","1847133515","0","38","56710240","1197","1800326","54217572000"
"97","2004-10-09","6","7","14","15","20","36","3","9","1496214000","0","46","48789587","1543","1454518","57713200000"
"98","2004-10-16","6","9","16","23","24","32","43","4","3177972300","0","45","47081072","1880","1126941","56231084000"
"99","2004-10-23","1","3","10","27","29","37","11","6","2169219050","0","40","54230477","1581","1372056","56207491000"
"100","2004-10-30","1","7","11","23","37","42","6","4","3315315525","0","36","61394732","1544","1431484","56561977000"
"101","2004-11-06","1","3","17","32","35","45","8","5","2707297500","0","38","59370560","1405","1605752","57585065000"
"102","2004-11-13","17","22","24","26","35","40","42","9","1457153067","0","24","91072067","1352","1616664","56937962000"
"103","2004-11-20","5","14","15","27","30","45","10","8","1691589563","0","38","59354020","1583","1424797","57420615000"
"104","2004-11-27","17","32","33","34","42","44","35","2","6610743750","0","23","95807881","1293","1704240","56533705000"
"105","2004-12-04","8","10","20","34","41","45","28","4","3416781450","0","26","87609781","1331","1711386","57479716000"
"106","2004-12-11","4","10","12","22","24","33","29","16","810461157","0","40","54030744","2056","1051182","57384485000"
"107","2004-12-18","1","4","5","6","9","31","17","2","6679927800","0","35","63618360","2181","1020928","57545202000"
"108","2004-12-25","7","18","22","23","29","44","12","7","1998900772","0","41","56879291","1462","1595111","58875228000"
"109","2005-01-01","1","5","34","36","42","44","33","12","1246838200","0","31","80441175","1493","1670246","62584098000"
"110","2005-01-08","7","20","22","23","29","43","1","3","4566262000","0","38","60082395","1392","1640181","57625490000"
"111","2005-01-15","7","18","31","33","36","40","27","6","2199047450","0","51","43118578","1734","1268194","57876999000"
"112","2005-01-22","26","29","30","33","41","42","43","9","1567271167","0","32","73465836","1370","1715991","59292005000"
"113","2005-01-29","4","9","28","33","36","45","26","9","1561528934","0","43","54471940","1479","1583701","59258248000"
"114","2005-02-05","11","14","19","26","28","41","2","6","2362345050","0","41","57618172","1491","1584404","60079401000"
"115","2005-02-12","1","2","6","9","25","28","31","9","1488589567","0","34","65673070","1990","1122053","59130557000"
"116","2005-02-19","2","4","25","31","34","37","17","7","1997747315","0","56","41619736","1735","1343346","61606084000"
"117","2005-02-26","5","10","22","34","36","44","35","9","1558378334","0","50","46751350","1642","1423610","59429610000"
"118","2005-03-05","3","4","10","17","19","22","38","10","1297989720","0","41","52763810","1671","1294624","57171934000"
"119","2005-03-12","3","11","13","14","17","21","38","9","1474899400","0","49","45149982","1936","1142743","57800632000"
"120","2005-03-19","4","6","10","11","32","37","30","3","4364530300","0","31","70395650","1605","1359667","57418983000"
"121","2005-03-26","12","28","30","34","38","43","9","2","6839648100","0","31","73544604","1342","1698870","57134544000"
"122","2005-04-02","1","11","16","17","36","40","8","9","1450073800","0","38","57239756","1403","1550329","56171704000"
"123","2005-04-09","7","17","18","28","30","45","27","5","2532982680","0","38","55547866","1477","1429126","54097448000"
"124","2005-04-16","4","16","23","25","29","42","1","9","1395936267","0","37","56592011","1540","1359679","54180838000"
"125","2005-04-23","2","8","32","33","35","36","18","7","1754870786","0","36","56870813","1444","1417832","53149705000"
"126","2005-04-30","7","20","22","27","40","43","1","9","1369301500","0","35","58684350","1439","1427347","52748965000"
"127","2005-05-07","3","5","10","29","32","43","35","6","1965939150","0","43","45719516","1279","1537091","50752603000"
"128","2005-05-14","12","30","34","36","37","45","39","6","2064043100","0","23","89741005","1192","1731580","52310392000"
"129","2005-05-21","19","23","25","28","38","42","17","11","1093629655","0","50","40099754","1473","1361160","51555754000"
"130","2005-05-28","7","19","24","27","42","45","31","4","3036496650","0","30","67477704","1273","1590206","51359012000"
"131","2005-06-04","8","10","11","14","15","21","37","8","1451214488","0","33","58634929","1645","1176264","50231773000"
"132","2005-06-11","3","17","23","34","41","45","43","4","2920473525","0","34","57264187","1382","1408816","49921897000"
"133","2005-06-18","4","7","15","18","23","26","13","8","1450242600","0","51","37914840","1466","1319002","50889926000"
"134","2005-06-25","3","12","20","23","31","35","43","5","2349155100","0","50","39152585","1433","1366106","50445575000"
"135","2005-07-02","6","14","22","28","35","39","16","7","1717293515","0","28","71553897","1424","1406959","51062672000"
"136","2005-07-09","2","16","30","36","41","42","11","6","1997694150","0","26","76834391","1279","1561919","51144633000"
"137","2005-07-16","7","9","20","25","36","39","15","9","1270403467","0","40","47640130","1578","1207608","49978654000"
"138","2005-07-23","10","11","27","28","37","39","19","5","2227152000","0","32","57998750","1251","1483582","47688450000"
"139","2005-07-30","9","11","15","20","28","43","13","7","1650210215","0","28","68758759","1128","1706778","48371085000"
"140","2005-08-06","3","13","17","18","19","28","8","5","2109462840","0","34","51702521","1310","1341898","45983464000"
"141","2005-08-13","8","12","29","31","42","43","2","6","1900552400","0","29","65536290","1144","1661323","48016958000"
"142","2005-08-20","12","16","30","34","40","44","19","11","1018265564","0","28","66672150","1326","1407859","48012844000"
"143","2005-08-27","26","27","28","42","43","45","8","3","3954584700","0","35","56494068","1182","1672837","49415357000"
"144","2005-09-03","4","15","17","26","36","37","43","8","1402440413","0","38","49208436","1498","1248279","49202521000"
"145","2005-09-10","2","3","13","20","27","44","9","3","3797838200","0","38","49971556","1217","1560328","48913832000"
"146","2005-09-17","2","19","27","35","41","42","25","2","6043415250","0","34","59249170","1383","1456596","50677555000"
"147","2005-09-24","4","6","13","21","40","42","36","7","1700040215","0","35","56668008","1215","1632412","50345605000"
"148","2005-10-01","21","25","33","34","35","36","17","5","2323596420","0","35","55323725","1185","1634035","49523247000"
"149","2005-10-08","2","11","21","34","41","42","27","7","1639052143","0","43","44470407","1171","1632987","48406950000"
"150","2005-10-15","2","18","25","28","37","39","16","4","2831645850","0","46","41038346","1279","1475969","48763778000"
"151","2005-10-22","1","2","10","13","18","19","15","4","2716634025","0","45","40246430","1491","1214681","47357067000"
"152","2005-10-29","1","5","13","26","29","34","43","5","2278131840","0","30","63281440","1184","1603415","48180334000"
"153","2005-11-05","3","8","11","12","13","36","33","4","2730526125","0","52","35006746","1446","1258888","47777735000"
"154","2005-11-12","6","19","21","35","40","45","20","4","2836628700","0","32","59096432","1189","1590485","48022386000"
"155","2005-11-19","16","19","20","32","33","41","4","9","1193005734","0","37","48365098","1287","1390450","46140202000"
"156","2005-11-26","5","18","28","30","42","45","2","8","1401099900","0","30","62271107","1230","1518808","47344584000"
"157","2005-12-03","19","26","30","33","35","39","37","2","5484903750","0","28","65296474","1155","1582945","46853365000"
"158","2005-12-10","4","9","13","18","21","34","7","10","1069544340","0","45","39612754","1516","1175841","46368888000"
"159","2005-12-17","1","18","30","41","42","43","32","6","1755407300","0","24","73141971","1071","1639036","44311926000"
"160","2005-12-24","3","7","8","34","39","41","1","2","5490805350","0","32","57195890","1079","1696264","46833239000"
"161","2005-12-31","22","34","36","40","42","45","44","7","1996876272","0","63","33275487","1381","1517999","53096453000"
"162","2006-01-07","1","5","21","25","38","41","24","5","2308265760","0","33","58289540","1172","1641259","49050086000"
"163","2006-01-14","7","11","26","28","29","44","16","7","1629726515","0","47","40454205","1390","1367876","49018952000"
"164","2006-01-21","6","9","10","11","39","41","27","3","4054937900","0","39","51986384","1626","1246906","53052119000"
"165","2006-01-28","5","13","18","19","22","42","31","2","6767426700","0","40","56395223","1535","1469583","58088118000"
"166","2006-02-04","9","12","27","36","39","45","14","11","1111299982","0","28","72763690","1507","1351947","52157466000"
"167","2006-02-11","24","27","28","30","36","39","4","5","2491222920","0","36","57667198","1313","1581127","52744392000"
"168","2006-02-18","3","10","31","40","42","43","30","5","2349946920","0","54","36264613","1544","1268322","51496212000"
"169","2006-02-25","16","27","35","37","43","45","19","5","2482888380","0","31","66744312","1171","1766929","52076183000"
"170","2006-03-04","2","11","13","15","31","42","10","6","1923108250","0","27","71226232","1309","1469144","49718245000"
"171","2006-03-11","4","16","25","29","34","35","1","6","1961339700","0","19","103228406","1381","1420232","50357474000"
"172","2006-03-18","4","19","21","24","26","41","35","11","1081154073","0","19","104321885","1276","1553383","50758266000"
"173","2006-03-25","3","9","24","30","33","34","18","8","1487736788","0","63","31486493","1448","1369924","52286521000"
"174","2006-04-01","13","14","18","22","35","39","16","7","1771103058","0","26","79472574","1325","1559462","52340568000"
"175","2006-04-08","19","26","28","31","33","36","17","5","2371132620","0","48","41165497","1347","1466922","50895147000"
"176","2006-04-15","4","17","30","32","33","34","15","5","2314663080","0","40","48222148","1535","1256604","50488528000"
"177","2006-04-22","1","10","13","16","37","43","6","7","1693285500","0","30","65849992","1260","1567857","50480325000"
"178","2006-04-29","1","5","11","12","18","23","9","5","2254621080","0","44","42701157","1566","1199778","49582758000"
"179","2006-05-06","5","9","17","25","39","43","32","10","1081093920","0","53","33996665","1540","1170016","47291694000"
"180","2006-05-13","2","15","20","21","29","34","22","2","5763371550","0","35","54889253","1284","1496203","48895477000"
"181","2006-05-20","14","21","23","32","40","45","44","6","1941763300","0","24","80906805","1233","1574829","49124446000"
"182","2006-05-27","13","15","27","29","34","40","35","3","3721439400","0","44","42289085","1228","1515245","47222594000"
"183","2006-06-03","2","18","24","34","40","42","5","6","1777221500","0","25","71088860","1294","1373433","45938460000"
"184","2006-06-10","1","2","6","16","20","33","41","6","1747753050","0","31","56379131","1331","1313113","45503351000"
"185","2006-06-17","1","2","4","8","19","38","14","3","3522485800","0","34","51801262","1228","1434237","45783088000"
"186","2006-06-24","4","10","14","19","21","45","9","9","1187882600","0","46","38735303","1169","1524230","45484428000"
"187","2006-07-01","1","2","8","18","29","38","42","7","1544733900","0","19","94852082","1253","1438300","45855961000"
"188","2006-07-08","19","24","27","30","31","34","36","3","3501405200","0","33","53051594","1320","1326290","45176242000"
"189","2006-07-15","8","14","32","35","37","45","28","3","3461775100","0","33","52451138","1085","1595289","43650551000"
"190","2006-07-22","8","14","18","30","31","44","15","6","1784159450","0","33","54065438","1016","1756063","44864459000"
"191","2006-07-29","5","6","24","25","32","37","8","4","2577114675","0","23","74698977","1145","1500504","44534869000"
"192","2006-08-05","4","8","11","18","37","45","33","4","2445348375","0","38","42900849","1098","1484729","42035065000"
"193","2006-08-12","6","14","18","26","36","39","13","3","3404449700","0","20","85111243","1135","1499758","43788477000"
"194","2006-08-19","15","20","23","26","39","44","28","4","2650567875","0","21","84145012","1072","1648364","44511515000"
"195","2006-08-26","7","10","19","22","35","40","31","11","918992591","0","66","25527572","1691","996346","44374725000"
"196","2006-09-02","35","36","37","41","44","45","30","15","727876520","0","27","67395975","1518","1198743","45773496000"
"197","2006-09-09","7","12","16","34","42","45","4","6","1803018300","0","42","42929008","1229","1467062","45993306000"
"198","2006-09-16","12","19","20","25","41","45","2","6","1797855050","0","25","71914202","1050","1712243","45614021000"
"199","2006-09-23","14","21","22","25","30","36","43","2","5344252200","0","23","77452931","1049","1698206","45021068000"
"200","2006-09-30","5","6","13","14","17","20","7","8","1344616613","0","58","30910727","1387","1292590","46640423000"
"201","2006-10-07","3","11","24","38","39","44","26","1","9719465400","0","37","43781376","1347","1202607","42254768000"
"202","2006-10-14","12","14","27","33","39","44","17","6","1893391700","0","40","47334793","1232","1536844","48304034000"
"203","2006-10-21","1","3","11","24","30","32","7","5","2164564740","0","43","41948930","1328","1358287","47033359000"
"204","2006-10-28","3","12","14","35","40","45","5","8","1358347125","0","23","78744761","1180","1534856","46077750000"
"205","2006-11-04","1","3","21","29","35","37","30","6","1835221800","0","21","87391515","1098","1671423","46330516000"
"206","2006-11-11","1","2","3","15","20","25","43","5","2032859340","0","36","47056930","1549","1093641","44326979000"
"207","2006-11-18","3","11","14","31","32","37","38","5","2104673760","0","37","47402563","1203","1457935","45282336000"
"208","2006-11-25","14","25","31","34","40","44","24","6","1760767400","0","34","51787277","1224","1438536","45516378000"
"209","2006-12-02","2","7","18","20","24","33","37","6","1660896350","0","34","48849893","1358","1223046","43753377000"
"210","2006-12-09","10","19","22","23","25","37","39","2","5139085950","0","46","37239754","1298","1319745","44757963000"
"211","2006-12-16","12","13","17","20","33","41","8","10","1035800250","0","29","59528750","1308","1319828","45332675000"
"212","2006-12-23","11","12","18","21","31","38","8","4","2660747250","0","36","49273098","1228","1444489","46139120000"
"213","2006-12-30","2","3","4","5","20","24","42","8","1376678025","0","33","55623355","1977","928463","48745094000"
"214","2007-01-06","5","7","20","25","28","37","32","8","1406980875","0","36","52110403","1433","1309124","49195740000"
"215","2007-01-13","2","3","7","15","43","44","4","7","1587689615","0","32","57884518","1248","1484219","47675761000"
"216","2007-01-20","7","16","17","33","36","40","1","13","848506108","0","63","29181427","2612","703840","48342018000"
"217","2007-01-27","16","20","27","33","35","39","38","7","1611246172","0","29","64820249","1206","1558696","48260644000"
"218","2007-02-03","1","8","14","18","29","44","20","4","2779075800","0","26","71258354","1203","1540081","47018314000"
"219","2007-02-10","4","11","20","26","35","37","16","9","1208409167","0","41","44210092","1292","1402952","46903745000"
"220","2007-02-17","5","11","19","21","34","43","31","6","1958094950","0","28","69931963","1317","1486785","50383399000"
"221","2007-02-24","2","20","33","35","37","40","10","6","1800104250","0","44","40911461","1608","1119468","47674135000"
"222","2007-03-03","5","7","28","29","39","43","44","5","2275193820","0","33","57454390","1105","1715833","47735197000"
"223","2007-03-10","1","3","18","20","26","27","38","7","1498170600","0","39","44817070","1416","1234369","46036874000"
"224","2007-03-17","4","19","26","27","30","42","7","6","1808969950","0","26","69575768","1158","1562151","46435109000"
"225","2007-03-24","5","11","13","19","31","36","7","6","1777201800","0","41","43346386","1287","1380888","46352016000"
"226","2007-03-31","2","6","8","14","21","22","34","6","1744100150","0","38","45897373","1305","1336476","45145643000"
"227","2007-04-07","4","5","15","16","22","42","2","2","5253542400","0","24","72965867","1103","1587653","44444776000"
"228","2007-04-14","17","25","35","36","39","44","23","9","1146700334","0","39","44103859","1338","1285539","44764100000"
"229","2007-04-21","4","5","9","11","23","38","35","7","1451441100","0","27","62716591","1312","1290662","44762989000"
"230","2007-04-28","5","11","14","29","32","33","12","8","1292929163","0","25","68956222","1037","1662397","44191351000"
"231","2007-05-05","5","10","19","31","44","45","27","9","1088365900","0","19","85923624","1267","1288516","42355627000"
"232","2007-05-12","8","9","10","12","24","44","35","9","1110918400","0","18","92576534","1268","1314178","43564632000"
"233","2007-05-19","4","6","13","17","28","40","39","10","999153750","0","26","64048318","1274","1307109","43516805000"
"234","2007-05-26","13","21","22","24","26","37","4","4","2519743875","0","23","73036055","1049","1601363","42814085000"
"235","2007-06-02","21","22","26","27","31","37","8","3","3433330100","0","29","59195347","1178","1457271","43347391000"
"236","2007-06-09","1","4","8","13","37","39","7","2","5030040150","0","41","40894636","1046","1602945","42941871000"
"237","2007-06-16","1","11","17","21","24","44","33","7","1440630729","0","39","43095792","1098","1530725","43358287000"
"238","2007-06-23","2","4","15","28","31","34","35","9","1121660567","0","29","58016926","1066","1578322","42952477000"
"239","2007-06-30","11","15","24","39","41","44","7","9","1134140167","0","29","58662423","1083","1570832","43296565000"
"240","2007-07-07","6","10","16","40","41","43","21","2","5098251450","0","28","60693470","1084","1567728","43603443000"
"241","2007-07-14","2","16","24","27","28","35","21","4","2552016300","0","34","50039536","967","1759405","43246894000"
"242","2007-07-21","4","19","20","21","32","34","43","8","1234542375","0","36","45723792","1245","1322134","42679760000"
"243","2007-07-28","2","12","17","19","28","42","34","4","2408850000","0","29","55375863","1089","1474656","41304830000"
"244","2007-08-04","13","16","25","36","37","38","19","1","9121583100","0","25","60810554","1096","1387103","39411047000"
"245","2007-08-11","9","11","27","31","32","38","22","7","1382583129","0","35","46086105","1092","1477119","41854623000"
"246","2007-08-18","13","18","21","23","26","39","15","5","1911774240","0","26","61274816","1294","1231179","41453154000"
"247","2007-08-25","12","15","28","36","39","40","13","6","1669313900","0","29","57562549","1019","1638189","42231698000"
"248","2007-09-01","3","8","17","23","38","45","13","8","1227479363","0","23","71158224","1155","1417004","42348403000"
"249","2007-09-08","3","8","27","31","41","44","11","6","1663568700","0","29","57364438","1169","1423070","42539134000"
"250","2007-09-15","19","23","30","37","43","45","38","5","1994726280","0","17","97780700","1051","1581610","42122808000"
"251","2007-09-22","6","7","19","25","28","38","45","8","1282616400","0","40","42753880","1242","1376937","44493014000"
"252","2007-09-29","14","23","26","31","39","45","28","7","1391089715","0","24","67622417","1087","1493044","41207920000"
"253","2007-10-06","8","19","25","31","34","36","33","4","2466189525","0","20","82206318","1169","1406439","42309347000"
"254","2007-10-13","1","5","19","20","24","30","27","1","9741015900","0","33","49197050","1225","1325309","42259113000"
"255","2007-10-20","1","5","6","24","27","42","32","6","1598618550","0","13","122970658","1054","1516716","41425341000"
"256","2007-10-27","4","11","14","21","23","43","32","2","4891017000","0","34","47951148","1192","1367735","41996580000"
"257","2007-11-03","6","13","27","31","32","37","4","4","2391377025","0","18","88569520","1233","1292986","41433637000"
"258","2007-11-10","14","27","30","31","38","40","17","4","2426434350","0","28","57772247","1724","938297","41364428000"
"259","2007-11-17","4","5","14","35","42","45","34","2","4838533500","0","25","64513780","1030","1565869","40905570000"
"260","2007-11-24","7","12","15","24","37","40","43","4","2310085575","0","26","59232964","1284","1199422","40140211000"
"261","2007-12-01","6","11","16","18","31","43","2","3","3192299100","0","32","49879674","1104","1445788","41215041000"
"262","2007-12-08","9","12","24","25","29","31","36","2","4518741600","0","21","71726058","1106","1361888","39232234000"
"263","2007-12-15","1","27","28","32","37","40","18","6","1551704900","0","27","57470552","937","1656036","39677128000"
"264","2007-12-22","9","16","27","36","41","44","5","7","1344889200","0","27","58112497","1047","1498604","39783178000"
"265","2007-12-29","5","9","34","37","38","39","12","8","1200838575","0","19","84269374","1010","1585266","40913922000"
"266","2008-01-05","3","4","9","11","22","42","37","3","3207211700","0","36","44544607","1194","1343054","41937067000"
"267","2008-01-12","7","8","24","34","36","41","1","3","3257663300","0","28","58172559","1141","1427548","41835853000"
